club,squad_size,avg_age,num_foreigners,market_value,av_market_value
Chelsea,28,25.6,21,404.20e6,14.44e6
Manchester United,31,24.3,20,356.10e6,11.49e6
Liverpool,28,23.9,24,254.73e6,9.10e6
Arsenal,38,21.3,30,250.85e6,6.60e6
Tottenham Hotspur,35,22.5,18,212.60e6,6.07e6
Manchester City,32,24.0,20,205.30e6,6.42e6
Everton,28,24.4,15,162.55e6,5.81e6
Newcastle United,32,24.8,19,134.95e6,4.22e6
Portsmouth,31,26.8,19,131.50e6,4.24e6
Aston Villa,21,25.4,8,111.80e6,5.32e6
Sunderland,31,24.9,21,91.28e6,2.94e6
Blackburn Rovers,26,26.4,21,86.75e6,3.34e6
Bolton Wanderers,30,25.2,19,84.70e6,2.82e6
West Ham United,26,24.3,15,80.55e6,3.10e6
Middlesbrough,30,22.3,13,73.65e6,2.46e6
Fulham,32,25.3,20,73.10e6,2.28e6
West Bromwich Albion,30,24.6,21,64.05e6,2.14e6
Wigan Athletic,25,25.7,18,61.60e6,2.46e6
Stoke City,29,26.6,15,49.70e6,1.71e6
Hull City,27,27.3,12,38.63e6,1.43e6
