club,Squad,ø age,Foreigners,Total MV,ø MV
Chelsea,30,26.3,21,€467.50m,€15.58m
Man City,34,24.7,22,€461.80m,€13.58m
Man Utd,41,23.6,23,€398.25m,€9.71m
Spurs,49,24.2,24,€316.00m,€6.45m
Arsenal,44,23.3,33,€311.43m,€7.08m
Liverpool,28,25.0,16,€247.75m,€8.85m
Everton,34,25.6,24,€190.18m,€5.59m
Aston Villa,34,25.3,21,€157.60m,€4.64m
Sunderland,33,25.0,18,€125.05m,€3.79m
Newcastle,35,24.1,21,€120.53m,€3.44m
Stoke City,31,27.9,15,€119.05m,€3.84m
Fulham,36,26.1,28,€118.55m,€3.29m
QPR,46,27.0,24,€106.05m,€2.31m
Bolton,37,25.2,19,€98.15m,€2.65m
Blackburn,36,24.5,25,€90.65m,€2.52m
Wolves,35,24.1,23,€82.00m,€2.34m
West Brom,36,25.0,24,€81.38m,€2.26m
Wigan,29,25.4,22,€70.00m,€2.41m
Swansea,32,24.8,26,€40.55m,€1.27m
Norwich,29,24.5,12,€22.50m,€776Th.
