club,Squad,ø age,Foreigners,Total MV,ø MV
Liverpool,29,26.3,21,€1.11bn,€38.24m
Man City,24,26.9,19,€1.06bn,€44.01m
Chelsea,28,26.4,22,€823.05m,€29.39m
Man Utd,30,26.8,19,€765.35m,€25.51m
Spurs,28,27.1,20,€737.15m,€26.33m
Arsenal,27,26.2,19,€556.70m,€20.62m
Everton,28,26.7,19,€507.30m,€18.12m
Leicester,26,27.2,18,€480.50m,€18.48m
Wolves,26,25.5,21,€422.60m,€16.25m
Aston Villa,26,26.7,13,€323.50m,€12.44m
Newcastle,29,28.0,18,€268.05m,€9.24m
West Ham,23,28.6,14,€262.85m,€11.43m
Brighton,29,25.8,19,€252.45m,€8.71m
Southampton,27,25.8,11,€240.50m,€8.91m
Fulham,29,27.4,23,€216.30m,€7.46m
Crystal Palace,28,29.2,15,€207.98m,€7.43m
Leeds,29,25.9,19,€195.53m,€6.74m
Sheff Utd,28,27.2,11,€172.30m,€6.15m
Burnley,26,28.0,10,€152.08m,€5.85m
West Brom,29,27.6,13,€118.15m,€4.07m
