year,month,day,season,home,visitor,result,week_day
1980,08,16,1980,4,14,2,1
1980,08,16,1980,9,52,2,1
1980,08,16,1980,22,2,3,1
1980,08,16,1980,23,21,3,1
1980,08,16,1980,24,15,2,1
1980,08,16,1980,27,28,2,1
1980,08,16,1980,31,42,2,1
1980,08,16,1980,41,26,2,1
1980,08,16,1980,43,17,2,1
1980,08,16,1980,46,32,2,1
1980,08,16,1980,48,1,3,1
1980,08,19,1980,1,41,1,2
1980,08,19,1980,14,24,1,2
1980,08,19,1980,15,46,3,2
1980,08,19,1980,17,23,2,2
1980,08,19,1980,21,9,2,2
1980,08,19,1980,28,22,2,2
1980,08,19,1980,52,27,2,2
1980,08,20,1980,2,31,2,2
1980,08,20,1980,26,43,3,2
1980,08,20,1980,32,4,2,2
1980,08,20,1980,42,48,1,2
1980,08,23,1980,4,27,1,3
1980,08,23,1980,14,1,2,3
1980,08,23,1980,15,28,2,3
1980,08,23,1980,17,32,1,3
1980,08,23,1980,23,24,2,3
1980,08,23,1980,26,2,1,3
1980,08,23,1980,31,22,3,3
1980,08,23,1980,42,21,1,3
1980,08,23,1980,43,41,3,3
1980,08,23,1980,46,9,1,3
1980,08,23,1980,48,52,1,3
1980,08,30,1980,1,46,2,4
1980,08,30,1980,2,14,2,4
1980,08,30,1980,9,48,3,4
1980,08,30,1980,21,17,2,4
1980,08,30,1980,22,23,3,4
1980,08,30,1980,24,31,2,4
1980,08,30,1980,27,43,1,4
1980,08,30,1980,28,26,1,4
1980,08,30,1980,32,42,2,4
1980,08,30,1980,41,4,2,4
1980,08,30,1980,52,15,2,4
1980,09,06,1980,4,24,1,5
1980,09,06,1980,14,15,2,5
1980,09,06,1980,17,52,2,5
1980,09,06,1980,21,2,2,5
1980,09,06,1980,23,43,3,5
1980,09,06,1980,26,1,1,5
1980,09,06,1980,28,32,1,5
1980,09,06,1980,41,9,2,5
1980,09,06,1980,42,22,2,5
1980,09,06,1980,46,27,1,5
1980,09,06,1980,48,31,2,5
1980,09,13,1980,1,42,2,6
1980,09,13,1980,2,17,3,6
1980,09,13,1980,9,4,1,6
1980,09,13,1980,15,21,3,6
1980,09,13,1980,22,46,1,6
1980,09,13,1980,24,48,2,6
1980,09,13,1980,27,23,2,6
1980,09,13,1980,31,41,2,6
1980,09,13,1980,32,26,2,6
1980,09,13,1980,43,28,3,6
1980,09,13,1980,52,14,3,6
1980,09,20,1980,2,52,2,7
1980,09,20,1980,4,48,1,7
1980,09,20,1980,9,31,2,7
1980,09,20,1980,17,15,2,7
1980,09,20,1980,21,14,2,7
1980,09,20,1980,22,27,1,7
1980,09,20,1980,26,42,3,7
1980,09,20,1980,28,1,2,7
1980,09,20,1980,32,23,2,7
1980,09,20,1980,41,24,1,7
1980,09,20,1980,46,43,1,7
1980,09,27,1980,1,32,2,8
1980,09,27,1980,14,17,3,8
1980,09,27,1980,15,2,3,8
1980,09,27,1980,23,46,2,8
1980,09,27,1980,24,9,2,8
1980,09,27,1980,27,26,1,8
1980,09,27,1980,31,4,1,8
1980,09,27,1980,42,28,2,8
1980,09,27,1980,43,22,2,8
1980,09,27,1980,48,41,2,8
1980,09,27,1980,52,21,3,8
1980,10,04,1980,1,23,2,9
1980,10,04,1980,2,43,2,9
1980,10,04,1980,14,9,1,9
1980,10,04,1980,15,48,3,9
1980,10,04,1980,17,41,2,9
1980,10,04,1980,21,22,1,9
1980,10,04,1980,26,24,3,9
1980,10,04,1980,28,31,2,9
1980,10,04,1980,32,27,3,9
1980,10,04,1980,42,46,3,9
1980,10,04,1980,52,4,2,9
1980,10,07,1980,4,1,2,10
1980,10,07,1980,9,17,3,10
1980,10,07,1980,24,28,2,10
1980,10,07,1980,41,52,2,10
1980,10,08,1980,22,26,2,10
1980,10,08,1980,23,42,1,10
1980,10,08,1980,27,2,1,10
1980,10,08,1980,43,32,1,10
1980,10,08,1980,48,14,2,10
1980,10,11,1980,4,2,3,11
1980,10,11,1980,9,32,3,11
1980,10,11,1980,22,17,2,11
1980,10,11,1980,23,14,3,11
1980,10,11,1980,24,21,1,11
1980,10,11,1980,27,1,1,11
1980,10,11,1980,31,52,1,10
1980,10,11,1980,41,42,3,11
1980,10,11,1980,43,15,2,11
1980,10,11,1980,46,28,2,10
1980,10,11,1980,48,26,2,11
1980,10,18,1980,1,43,1,12
1980,10,18,1980,2,46,2,12
1980,10,18,1980,14,31,3,12
1980,10,18,1980,15,23,2,11
1980,10,18,1980,17,24,1,12
1980,10,18,1980,21,27,1,11
1980,10,18,1980,26,4,3,12
1980,10,18,1980,28,41,1,12
1980,10,18,1980,32,48,2,12
1980,10,18,1980,42,9,1,12
1980,10,18,1980,52,22,2,12
1980,10,21,1980,1,31,2,13
1980,10,21,1980,14,43,2,13
1980,10,21,1980,15,41,2,12
1980,10,21,1980,17,48,1,13
1980,10,21,1980,28,23,2,13
1980,10,22,1980,2,9,2,13
1980,10,22,1980,26,46,2,13
1980,10,22,1980,32,22,2,13
1980,10,22,1980,42,27,3,13
1980,10,25,1980,4,42,1,13
1980,10,25,1980,9,26,3,14
1980,10,25,1980,22,15,2,14
1980,10,25,1980,23,52,2,14
1980,10,25,1980,24,1,1,13
1980,10,25,1980,27,17,2,14
1980,10,25,1980,31,32,1,13
1980,10,25,1980,41,2,3,14
1980,10,25,1980,43,21,3,14
1980,10,25,1980,46,14,2,13
1980,10,25,1980,48,28,2,14
1980,10,29,1980,31,15,1,14
1980,11,01,1980,1,9,2,15
1980,11,01,1980,2,23,2,15
1980,11,01,1980,14,22,2,15
1980,11,01,1980,15,27,2,15
1980,11,01,1980,17,46,1,15
1980,11,01,1980,21,48,1,13
1980,11,01,1980,26,31,2,15
1980,11,01,1980,28,4,3,15
1980,11,01,1980,32,41,2,15
1980,11,01,1980,42,24,1,15
1980,11,01,1980,52,43,2,14
1980,11,08,1980,4,15,2,15
1980,11,08,1980,9,28,3,16
1980,11,08,1980,22,1,3,16
1980,11,08,1980,23,26,1,16
1980,11,08,1980,24,32,1,15
1980,11,08,1980,27,14,1,16
1980,11,08,1980,31,17,2,16
1980,11,08,1980,41,21,1,16
1980,11,08,1980,43,42,1,16
1980,11,08,1980,46,52,1,15
1980,11,08,1980,48,2,1,16
1980,11,11,1980,4,32,2,16
1980,11,11,1980,9,21,2,17
1980,11,11,1980,24,14,2,16
1980,11,11,1980,41,1,2,17
1980,11,12,1980,22,28,2,17
1980,11,12,1980,23,17,3,17
1980,11,12,1980,27,52,1,17
1980,11,12,1980,31,2,3,17
1980,11,12,1980,43,26,2,17
1980,11,12,1980,46,15,2,16
1980,11,15,1980,1,48,1,18
1980,11,15,1980,2,22,1,18
1980,11,15,1980,14,4,2,18
1980,11,15,1980,15,24,1,18
1980,11,15,1980,17,43,2,18
1980,11,15,1980,21,23,2,16
1980,11,15,1980,26,41,2,18
1980,11,15,1980,28,27,1,18
1980,11,15,1980,32,46,3,18
1980,11,15,1980,42,31,2,17
1980,11,15,1980,52,9,3,17
1980,11,22,1980,1,17,2,19
1980,11,22,1980,4,46,2,18
1980,11,22,1980,9,27,3,19
1980,11,22,1980,24,2,2,18
1980,11,22,1980,26,14,2,19
1980,11,22,1980,28,52,2,19
1980,11,22,1980,31,43,2,19
1980,11,22,1980,32,21,3,19
1980,11,22,1980,41,22,2,19
1980,11,22,1980,42,15,2,18
1980,11,22,1980,48,23,2,18
1980,11,25,1980,48,42,1,19
1980,11,25,1980,52,24,2,19
1980,11,29,1980,2,1,1,20
1980,11,29,1980,14,32,1,20
1980,11,29,1980,15,26,3,20
1980,11,29,1980,17,4,1,20
1980,11,29,1980,22,9,2,20
1980,11,29,1980,23,31,3,20
1980,11,29,1980,27,41,1,20
1980,11,29,1980,43,24,3,20
1980,11,29,1980,46,48,3,19
1980,11,29,1980,52,42,2,20
1980,12,06,1980,1,52,1,21
1980,12,06,1980,4,23,3,20
1980,12,06,1980,9,43,2,21
1980,12,06,1980,24,46,2,21
1980,12,06,1980,26,21,1,21
1980,12,06,1980,28,2,2,20
1980,12,06,1980,31,27,1,21
1980,12,06,1980,32,15,2,21
1980,12,06,1980,41,14,2,21
1980,12,06,1980,42,17,1,21
1980,12,06,1980,48,22,3,21
1980,12,13,1980,2,4,2,22
1980,12,13,1980,14,48,2,22
1980,12,13,1980,15,31,2,22
1980,12,13,1980,17,9,2,22
1980,12,13,1980,21,24,1,19
1980,12,13,1980,22,32,2,22
1980,12,13,1980,23,28,2,22
1980,12,13,1980,27,42,1,22
1980,12,13,1980,43,1,2,22
1980,12,13,1980,46,26,2,21
1980,12,13,1980,52,41,1,22
1980,12,17,1980,46,21,2,22
1980,12,20,1980,1,27,2,23
1980,12,20,1980,4,21,3,22
1980,12,20,1980,9,2,2,23
1980,12,20,1980,24,52,2,23
1980,12,20,1980,26,22,2,23
1980,12,20,1980,28,46,2,22
1980,12,20,1980,31,14,2,23
1980,12,20,1980,32,43,2,23
1980,12,20,1980,41,15,2,23
1980,12,20,1980,42,23,2,23
1980,12,26,1980,2,42,2,24
1980,12,26,1980,14,28,2,24
1980,12,26,1980,15,1,1,24
1980,12,26,1980,17,26,3,23
1980,12,26,1980,21,31,2,22
1980,12,26,1980,22,4,1,24
1980,12,26,1980,23,9,3,24
1980,12,26,1980,27,24,1,24
1980,12,26,1980,43,48,1,24
1980,12,26,1980,46,41,1,24
1980,12,26,1980,52,32,3,24
1980,12,27,1980,1,21,1,25
1980,12,27,1980,4,43,2,24
1980,12,27,1980,9,15,2,25
1980,12,27,1980,24,22,1,25
1980,12,27,1980,26,52,2,25
1980,12,27,1980,28,17,2,24
1980,12,27,1980,31,46,1,25
1980,12,27,1980,32,2,1,25
1980,12,27,1980,41,23,2,25
1980,12,27,1980,42,14,1,25
1980,12,27,1980,48,27,2,24
1981,01,10,1980,2,24,2,26
1981,01,10,1980,14,26,1,26
1981,01,10,1980,15,42,1,26
1981,01,10,1980,17,1,3,25
1981,01,10,1980,21,32,2,24
1981,01,10,1980,22,41,3,26
1981,01,10,1980,23,48,3,26
1981,01,10,1980,27,9,2,26
1981,01,10,1980,43,31,2,26
1981,01,10,1980,46,4,2,26
1981,01,10,1980,52,28,2,26
1981,01,13,1980,21,4,2,25
1981,01,17,1980,4,41,3,27
1981,01,17,1980,14,2,3,27
1981,01,17,1980,15,52,1,27
1981,01,17,1980,17,21,1,26
1981,01,17,1980,23,22,3,27
1981,01,17,1980,26,28,2,27
1981,01,17,1980,31,24,3,27
1981,01,17,1980,46,1,2,27
1981,01,17,1980,48,9,2,26
1981,01,28,1980,43,27,2,27
1981,01,31,1980,1,14,1,28
1981,01,31,1980,2,26,2,28
1981,01,31,1980,9,46,3,28
1981,01,31,1980,21,42,2,27
1981,01,31,1980,22,31,2,28
1981,01,31,1980,24,23,3,28
1981,01,31,1980,27,4,2,28
1981,01,31,1980,28,15,2,27
1981,01,31,1980,32,17,2,27
1981,01,31,1980,41,43,2,28
1981,01,31,1980,52,48,2,28
1981,02,07,1980,4,9,2,29
1981,02,07,1980,14,52,1,29
1981,02,07,1980,17,2,3,28
1981,02,07,1980,21,15,2,28
1981,02,07,1980,23,27,2,29
1981,02,07,1980,26,32,1,29
1981,02,07,1980,28,43,2,28
1981,02,07,1980,41,31,2,29
1981,02,07,1980,42,1,1,28
1981,02,07,1980,46,22,1,29
1981,02,07,1980,48,24,2,28
1981,02,14,1980,22,42,3,30
1981,02,14,1980,24,4,1,30
1981,02,14,1980,31,48,3,30
1981,02,14,1980,43,23,2,30
1981,02,17,1980,15,14,3,30
1981,02,17,1980,21,28,2,29
1981,02,17,1980,27,46,1,30
1981,02,18,1980,42,32,3,30
1981,02,20,1980,4,31,2,31
1981,02,21,1980,2,15,2,30
1981,02,21,1980,9,24,1,30
1981,02,21,1980,17,14,2,29
1981,02,21,1980,21,52,2,30
1981,02,21,1980,22,43,2,31
1981,02,21,1980,26,27,2,30
1981,02,21,1980,28,42,2,30
1981,02,21,1980,32,1,2,30
1981,02,21,1980,41,48,1,30
1981,02,21,1980,46,23,3,31
1981,02,24,1980,1,26,2,31
1981,02,24,1980,9,41,2,31
1981,02,28,1980,1,28,1,32
1981,02,28,1980,14,21,3,32
1981,02,28,1980,15,17,3,32
1981,02,28,1980,23,32,1,32
1981,02,28,1980,24,41,2,32
1981,02,28,1980,27,22,3,32
1981,02,28,1980,31,9,2,32
1981,02,28,1980,43,46,1,32
1981,02,28,1980,48,4,1,31
1981,02,28,1980,52,2,3,31
1981,03,03,1980,32,28,2,32
1981,03,07,1980,9,14,2,33
1981,03,07,1980,23,1,2,33
1981,03,07,1980,41,27,2,33
1981,03,07,1980,43,2,3,33
1981,03,07,1980,48,15,2,32
1981,03,11,1980,46,42,1,33
1981,03,14,1980,2,27,1,33
1981,03,14,1980,14,23,2,34
1981,03,14,1980,15,43,3,34
1981,03,14,1980,17,22,3,31
1981,03,14,1980,21,46,2,32
1981,03,14,1980,26,48,2,32
1981,03,14,1980,32,9,2,33
1981,03,14,1980,42,41,3,33
1981,03,14,1980,52,31,2,32
1981,03,17,1980,4,52,2,33
1981,03,17,1980,31,28,2,34
1981,03,17,1980,41,17,2,35
1981,03,18,1980,27,32,1,35
1981,03,18,1980,42,26,2,34
1981,03,21,1980,4,26,2,34
1981,03,21,1980,9,42,1,35
1981,03,21,1980,22,52,3,34
1981,03,21,1980,23,15,1,35
1981,03,21,1980,24,17,2,33
1981,03,21,1980,27,21,2,36
1981,03,21,1980,31,1,1,35
1981,03,21,1980,41,28,2,36
1981,03,21,1980,43,14,2,35
1981,03,21,1980,46,2,2,35
1981,03,21,1980,48,32,2,34
1981,03,28,1980,1,24,2,35
1981,03,28,1980,2,41,2,35
1981,03,28,1980,14,46,3,36
1981,03,28,1980,15,22,3,36
1981,03,28,1980,17,27,3,34
1981,03,28,1980,21,43,2,34
1981,03,28,1980,26,9,1,35
1981,03,28,1980,28,48,2,35
1981,03,28,1980,32,31,2,36
1981,03,28,1980,42,4,1,36
1981,03,28,1980,52,23,3,35
1981,03,31,1980,1,4,2,36
1981,03,31,1980,22,21,2,36
1981,03,31,1980,26,23,1,36
1981,03,31,1980,48,17,2,36
1981,04,03,1980,24,42,2,35
1981,04,04,1980,4,28,2,37
1981,04,04,1980,9,1,3,37
1981,04,04,1980,22,14,2,37
1981,04,04,1980,23,2,3,38
1981,04,04,1980,27,15,2,38
1981,04,04,1980,31,26,2,37
1981,04,04,1980,41,32,2,38
1981,04,04,1980,43,52,3,37
1981,04,04,1980,46,17,1,37
1981,04,04,1980,48,21,2,37
1981,04,08,1980,2,48,2,37
1981,04,11,1980,1,22,1,38
1981,04,11,1980,14,27,3,38
1981,04,11,1980,15,4,2,38
1981,04,11,1980,17,31,3,37
1981,04,11,1980,28,9,2,37
1981,04,11,1980,32,24,1,38
1981,04,11,1980,42,43,2,38
1981,04,14,1980,2,21,3,38
1981,04,14,1980,24,27,3,37
1981,04,18,1980,2,32,2,39
1981,04,18,1980,14,42,1,39
1981,04,18,1980,15,9,3,39
1981,04,18,1980,17,28,2,38
1981,04,18,1980,21,1,3,38
1981,04,18,1980,22,24,1,39
1981,04,18,1980,23,41,1,39
1981,04,18,1980,27,48,2,41
1981,04,18,1980,43,4,2,39
1981,04,18,1980,46,31,3,38
1981,04,18,1980,52,26,3,37
1981,04,20,1980,1,15,2,40
1981,04,20,1980,9,23,2,40
1981,04,20,1980,26,17,2,39
1981,04,20,1980,31,21,2,40
1981,04,20,1980,32,52,2,40
1981,04,20,1980,41,46,1,40
1981,04,20,1980,42,2,1,40
1981,04,20,1980,48,43,2,40
1981,04,21,1980,4,22,3,40
1981,04,21,1980,28,14,3,39
1981,04,25,1980,2,28,2,41
1981,04,25,1980,14,41,2,41
1981,04,25,1980,15,32,3,41
1981,04,25,1980,17,42,3,40
1981,04,25,1980,21,26,2,40
1981,04,25,1980,23,4,2,41
1981,04,25,1980,27,31,2,42
1981,04,25,1980,43,9,3,41
1981,04,25,1980,46,24,1,40
1981,04,25,1980,52,1,3,39
1981,04,30,1980,52,46,2,40
1981,05,02,1980,1,2,2,42
1981,05,02,1980,4,17,1,42
1981,05,02,1980,9,22,2,42
1981,05,02,1980,24,43,3,40
1981,05,02,1980,26,15,1,41
1981,05,02,1980,28,21,2,41
1981,05,02,1980,31,23,3,42
1981,05,02,1980,32,14,1,42
1981,05,02,1980,42,52,2,42
1981,05,02,1980,48,46,2,41
1981,05,04,1980,52,17,1,42
1981,05,05,1980,28,24,3,42
1981,05,06,1980,22,48,1,42
1981,05,13,1980,21,41,3,42
1981,05,19,1980,24,26,2,42
1981,08,29,1981,1,42,3,1
1981,08,29,1981,2,33,3,1
1981,08,29,1981,14,27,2,1
1981,08,29,1981,17,4,2,1
1981,08,29,1981,21,43,1,1
1981,08,29,1981,26,48,2,1
1981,08,29,1981,28,46,3,1
1981,08,29,1981,32,41,2,1
1981,08,29,1981,44,22,2,1
