season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2020,1,2020,9,12,18,1,,,21,8,19,5,216300000.0,556700000.0,
2020,1,2020,9,12,15,41,,,14,11,12,16,207980000.0,240500000.0,
2020,1,2020,9,12,24,22,,,1,21,2,21,1110000000.0,195530000.0,
2020,1,2020,9,12,49,30,,,16,13,9,14,262850000.0,268050000.0,
2020,1,2020,9,13,48,23,,,21,5,21,10,118150000.0,480500000.0,
2020,1,2020,9,13,46,17,,,6,12,4,8,737150000.0,507300000.0,
2020,1,2020,9,14,39,52,,,10,7,21,7,172300000.0,422600000.0,
2020,1,2020,9,14,9,13,,,15,4,17,3,252450000.0,823050000.0,
2020,2,2020,9,19,17,48,,,12,21,8,21,507300000.0,118150000.0,
2020,2,2020,9,19,22,18,,,21,21,21,19,195530000.0,216300000.0,
2020,2,2020,9,19,27,15,,,3,14,6,12,765350000.0,207980000.0,
2020,2,2020,9,19,1,49,,,8,16,5,9,556700000.0,262850000.0,
2020,2,2020,9,20,41,46,,,11,6,16,4,240500000.0,737150000.0,
2020,2,2020,9,20,30,9,,,13,15,14,17,268050000.0,252450000.0,
2020,2,2020,9,20,13,24,,,4,1,3,2,823050000.0,1110000000.0,
2020,2,2020,9,20,23,10,,,5,9,10,15,480500000.0,152080000.0,
2020,2,2020,9,21,2,39,,,17,10,21,21,323500000.0,172300000.0,
2020,2,2020,9,21,52,26,,,7,2,7,1,422600000.0,1060000000.0,
2020,3,2020,9,26,9,27,,,15,3,17,6,252450000.0,765350000.0,
2020,3,2020,9,26,15,17,,,14,12,12,8,207980000.0,507300000.0,
2020,3,2020,9,26,48,13,,,21,4,21,3,118150000.0,823050000.0,
2020,3,2020,9,26,10,41,,,9,11,15,16,152080000.0,240500000.0,
2020,3,2020,9,27,39,22,,,10,21,21,21,172300000.0,195530000.0,
2020,3,2020,9,27,46,30,,,6,13,4,14,737150000.0,268050000.0,
2020,3,2020,9,27,26,23,,,2,5,1,10,1060000000.0,480500000.0,
2020,3,2020,9,27,49,52,,,16,7,9,7,262850000.0,422600000.0,
2020,3,2020,9,28,18,2,,,21,17,19,21,216300000.0,323500000.0,
2020,3,2020,9,28,24,1,,,1,8,2,5,1110000000.0,556700000.0,
2020,4,2020,10,3,13,15,,,4,14,3,12,823050000.0,207980000.0,
2020,4,2020,10,3,17,9,,,12,15,8,17,507300000.0,252450000.0,
2020,4,2020,10,3,22,26,,,21,2,21,1,195530000.0,1060000000.0,
2020,4,2020,10,3,30,10,,,13,9,14,15,268050000.0,152080000.0,
2020,4,2020,10,4,23,49,,,5,16,10,9,480500000.0,262850000.0,
2020,4,2020,10,4,41,48,,,11,21,16,21,240500000.0,118150000.0,
2020,4,2020,10,4,1,39,,,8,10,5,21,556700000.0,172300000.0,
2020,4,2020,10,4,52,18,,,7,21,7,19,422600000.0,216300000.0,
2020,4,2020,10,4,27,46,,,3,6,6,4,765350000.0,737150000.0,
2020,4,2020,10,4,2,24,,,17,1,21,2,323500000.0,1110000000.0,
2020,5,2020,10,17,17,24,,,12,1,8,2,507300000.0,1110000000.0,
2020,5,2020,10,17,13,41,,,4,11,3,16,823050000.0,240500000.0,
2020,5,2020,10,17,26,1,,,2,8,1,5,1060000000.0,556700000.0,
2020,5,2020,10,17,30,27,,,13,3,14,6,268050000.0,765350000.0,
2020,5,2020,10,18,39,18,,,10,21,21,19,172300000.0,216300000.0,
2020,5,2020,10,18,15,9,,,14,15,12,17,207980000.0,252450000.0,
2020,5,2020,10,18,46,49,,,6,16,4,9,737150000.0,262850000.0,
2020,5,2020,10,18,23,2,,,5,17,10,21,480500000.0,323500000.0,
2020,5,2020,10,19,48,10,,,21,9,21,15,118150000.0,152080000.0,
2020,5,2020,10,19,22,52,,,21,7,21,7,195530000.0,422600000.0,
2020,6,2020,10,23,2,22,,,17,21,21,21,323500000.0,195530000.0,
2020,6,2020,10,24,49,26,,,16,2,9,1,262850000.0,1060000000.0,
2020,6,2020,10,24,18,15,,,21,14,19,12,216300000.0,207980000.0,
2020,6,2020,10,24,27,13,,,3,4,6,3,765350000.0,823050000.0,
2020,6,2020,10,24,24,39,,,1,10,2,21,1110000000.0,172300000.0,
2020,6,2020,10,25,41,17,,,11,12,16,8,240500000.0,507300000.0,
2020,6,2020,10,25,52,30,,,7,13,7,14,422600000.0,268050000.0,
2020,6,2020,10,25,1,23,,,8,5,5,10,556700000.0,480500000.0,
2020,6,2020,10,26,9,48,,,15,21,17,21,252450000.0,118150000.0,
2020,6,2020,10,26,10,46,,,9,6,15,4,152080000.0,737150000.0,
2020,7,2020,10,30,52,15,,,7,14,7,12,422600000.0,207980000.0,
2020,7,2020,10,31,39,26,,,10,2,21,1,172300000.0,1060000000.0,
2020,7,2020,10,31,10,13,,,9,4,15,3,152080000.0,823050000.0,
2020,7,2020,10,31,24,49,,,1,16,2,9,1110000000.0,262850000.0,
2020,7,2020,11,1,2,41,,,17,11,21,16,323500000.0,240500000.0,
2020,7,2020,11,1,30,17,,,13,12,14,8,268050000.0,507300000.0,
2020,7,2020,11,1,27,1,,,3,8,6,5,765350000.0,556700000.0,
2020,7,2020,11,1,46,9,,,6,15,4,17,737150000.0,252450000.0,
2020,7,2020,11,2,18,48,,,21,21,19,21,216300000.0,118150000.0,
2020,7,2020,11,2,22,23,,,21,5,21,10,195530000.0,480500000.0,
2020,8,2020,11,6,9,10,,,15,9,17,15,252450000.0,152080000.0,
2020,8,2020,11,6,41,30,,,11,13,16,14,240500000.0,268050000.0,
2020,8,2020,11,7,17,27,,,12,3,8,6,507300000.0,765350000.0,
2020,8,2020,11,7,15,22,,,14,21,12,21,207980000.0,195530000.0,
2020,8,2020,11,7,13,39,,,4,10,3,21,823050000.0,172300000.0,
2020,8,2020,11,7,49,18,,,16,21,9,19,262850000.0,216300000.0,
2020,8,2020,11,8,48,46,,,21,6,21,4,118150000.0,737150000.0,
2020,8,2020,11,8,23,52,,,5,7,10,7,480500000.0,422600000.0,
2020,8,2020,11,8,26,24,,,2,1,1,2,1060000000.0,1110000000.0,
2020,8,2020,11,8,1,2,,,8,17,5,21,556700000.0,323500000.0,
2020,9,2020,11,21,30,13,,,13,4,14,3,268050000.0,823050000.0,
2020,9,2020,11,21,2,9,,,17,15,21,17,323500000.0,252450000.0,
2020,9,2020,11,21,46,26,,,6,2,4,1,737150000.0,1060000000.0,
2020,9,2020,11,21,27,48,,,3,21,6,21,765350000.0,118150000.0,
2020,9,2020,11,22,18,17,,,21,12,19,8,216300000.0,507300000.0,
2020,9,2020,11,22,39,49,,,10,16,21,9,172300000.0,262850000.0,
2020,9,2020,11,22,22,1,,,21,8,21,5,195530000.0,556700000.0,
2020,9,2020,11,22,24,23,,,1,5,2,10,1110000000.0,480500000.0,
2020,9,2020,11,23,10,15,,,9,14,15,12,152080000.0,207980000.0,
2020,9,2020,11,23,52,41,,,7,11,7,16,422600000.0,240500000.0,
2020,10,2020,11,27,15,30,,,14,13,12,14,207980000.0,268050000.0,
2020,10,2020,11,28,9,24,,,15,1,17,2,252450000.0,1110000000.0,
2020,10,2020,11,28,26,10,,,2,9,1,15,1060000000.0,152080000.0,
2020,10,2020,11,28,17,22,,,12,21,8,21,507300000.0,195530000.0,
2020,10,2020,11,28,48,39,,,21,10,21,21,118150000.0,172300000.0,
2020,10,2020,11,29,41,27,,,11,3,16,6,240500000.0,765350000.0,
2020,10,2020,11,29,13,46,,,4,6,3,4,823050000.0,737150000.0,
2020,10,2020,11,29,1,52,,,8,7,5,7,556700000.0,422600000.0,
2020,10,2020,11,30,23,18,,,5,21,10,19,480500000.0,216300000.0,
2020,10,2020,11,30,49,2,,,16,17,9,21,262850000.0,323500000.0,
2020,11,2020,12,5,10,17,,,9,12,15,8,152080000.0,507300000.0,
2020,11,2020,12,5,26,18,,,2,21,1,19,1060000000.0,216300000.0,
2020,11,2020,12,5,49,27,,,16,3,9,6,262850000.0,765350000.0,
2020,11,2020,12,5,13,22,,,4,21,3,21,823050000.0,195530000.0,
2020,11,2020,12,6,48,15,,,21,14,21,12,118150000.0,207980000.0,
2020,11,2020,12,6,39,23,,,10,5,21,10,172300000.0,480500000.0,
2020,11,2020,12,6,46,1,,,6,8,4,5,737150000.0,556700000.0,
2020,11,2020,12,6,24,52,,,1,7,2,7,1110000000.0,422600000.0,
2020,11,2020,12,7,9,41,,,15,11,17,16,252450000.0,240500000.0,
2020,12,2020,12,11,22,49,,,21,16,21,9,195530000.0,262850000.0,
2020,12,2020,12,12,52,2,,,7,17,7,21,422600000.0,323500000.0,
2020,12,2020,12,12,30,48,,,13,21,14,21,268050000.0,118150000.0,
2020,12,2020,12,12,27,26,,,3,2,6,1,765350000.0,1060000000.0,
2020,12,2020,12,12,17,13,,,12,4,8,3,507300000.0,823050000.0,
2020,12,2020,12,13,41,39,,,11,10,16,21,240500000.0,172300000.0,
2020,12,2020,12,13,15,46,,,14,6,12,4,207980000.0,737150000.0,
2020,12,2020,12,13,18,24,,,21,1,19,2,216300000.0,1110000000.0,
2020,12,2020,12,13,1,10,,,8,9,5,15,556700000.0,152080000.0,
2020,12,2020,12,13,23,9,,,5,15,10,17,480500000.0,252450000.0,
2020,13,2020,12,15,52,13,,,7,4,7,3,422600000.0,823050000.0,
2020,13,2020,12,15,26,48,,,2,21,1,21,1060000000.0,118150000.0,
2020,13,2020,12,16,1,41,,,8,11,5,16,556700000.0,240500000.0,
2020,13,2020,12,16,22,30,,,21,13,21,14,195530000.0,268050000.0,
2020,13,2020,12,16,23,17,,,5,12,10,8,480500000.0,507300000.0,
