season,week_day,year,month,day,home,visitor,home_current_points,visitor_current_points,home_last_table_position,visitor_last_table_position,home_penultimate_table_position,visitor_penultimate_table_position,home_value,visitor_value,result
2005,1,2005,8,13,2,7,1,1,10,6,5,7,100830000.0,65900000.0,1
2005,1,2005,8,13,17,27,0,3,4,3,17,3,109780000.0,286430000.0,3
2005,1,2005,8,13,18,4,1,1,14,12,9,10,70900000.0,95380000.0,1
2005,1,2005,8,13,26,48,1,1,9,17,16,21,76400000.0,55050000.0,1
2005,1,2005,8,13,28,24,1,1,7,5,11,4,94630000.0,187400000.0,1
2005,1,2005,8,13,36,46,0,3,16,8,13,14,90830000.0,145500000.0,3
2005,1,2005,8,13,43,12,0,3,21,11,21,8,32550000.0,74980000.0,3
2005,1,2005,8,13,49,5,3,0,21,15,21,15,42400000.0,70700000.0,2
2005,1,2005,8,14,1,30,3,0,2,13,1,6,217950000.0,141200000.0,2
2005,1,2005,8,14,50,13,0,3,21,1,21,2,36200000.0,352180000.0,3
2005,2,2005,8,20,4,26,1,4,12,9,10,16,95380000.0,76400000.0,3
2005,2,2005,8,20,5,18,3,1,15,14,15,9,70700000.0,70900000.0,2
2005,2,2005,8,20,12,50,6,0,11,21,8,21,74980000.0,36200000.0,2
2005,2,2005,8,20,24,43,4,0,5,21,4,21,187400000.0,32550000.0,2
2005,2,2005,8,20,27,2,6,1,3,10,3,5,286430000.0,100830000.0,2
2005,2,2005,8,20,30,49,1,4,13,21,6,21,141200000.0,42400000.0,1
2005,2,2005,8,20,46,28,6,1,8,7,14,11,145500000.0,94630000.0,2
2005,2,2005,8,20,48,36,4,0,17,16,21,13,55050000.0,90830000.0,2
2005,2,2005,8,21,7,17,1,3,6,4,7,17,65900000.0,109780000.0,3
2005,2,2005,8,21,13,1,6,3,1,2,2,1,352180000.0,217950000.0,2
2005,3,2005,8,23,4,28,1,4,12,7,10,11,95380000.0,94630000.0,3
2005,3,2005,8,23,36,2,1,2,16,10,13,5,90830000.0,100830000.0,1
2005,3,2005,8,23,43,26,0,7,21,9,21,16,32550000.0,76400000.0,3
2005,3,2005,8,24,1,18,6,1,2,14,1,9,217950000.0,70900000.0,2
2005,3,2005,8,24,5,46,4,7,15,8,15,14,70700000.0,145500000.0,1
2005,3,2005,8,24,7,30,4,1,6,13,7,6,65900000.0,141200000.0,2
2005,3,2005,8,24,13,48,9,4,1,17,2,21,352180000.0,55050000.0,2
2005,4,2005,8,27,2,5,4,7,21,6,21,7,100830000.0,70700000.0,2
2005,4,2005,8,27,18,17,3,0,21,21,21,21,70900000.0,109780000.0,2
2005,4,2005,8,27,26,36,5,4,10,15,5,15,76400000.0,90830000.0,2
2005,4,2005,8,27,46,13,4,3,14,4,9,17,145500000.0,352180000.0,3
2005,4,2005,8,27,48,4,10,1,9,16,16,13,55050000.0,95380000.0,3
2005,3,2005,8,27,49,7,7,12,8,1,14,2,42400000.0,65900000.0,3
2005,3,2005,8,27,50,43,4,4,17,12,21,10,36200000.0,32550000.0,2
2005,4,2005,8,28,28,12,4,9,7,11,11,8,94630000.0,74980000.0,3
2005,4,2005,8,28,30,27,1,9,13,3,6,3,141200000.0,286430000.0,3
2005,5,2005,9,10,4,12,3,4,4,16,17,13,95380000.0,74980000.0,3
2005,5,2005,9,10,13,43,10,11,3,9,3,16,352180000.0,32550000.0,2
2005,4,2005,9,10,17,36,7,5,21,10,21,5,109780000.0,90830000.0,3
2005,4,2005,9,10,27,26,5,11,5,3,4,3,286430000.0,76400000.0,1
2005,5,2005,9,10,28,1,4,12,12,11,10,8,94630000.0,217950000.0,2
2005,5,2005,9,10,30,18,15,0,1,21,2,21,141200000.0,70900000.0,1
2005,5,2005,9,10,46,24,7,6,7,2,11,1,145500000.0,187400000.0,1
2005,5,2005,9,10,48,50,2,5,13,14,6,9,55050000.0,36200000.0,3
2005,5,2005,9,11,7,5,8,6,8,5,14,4,65900000.0,70700000.0,1
2005,4,2005,9,12,49,2,4,6,17,21,21,21,42400000.0,100830000.0,2
2005,6,2005,9,17,2,46,8,5,6,15,7,15,100830000.0,145500000.0,1
