season,week_day,year,month,day,home,visitor,hgoal,vgoal
2020,1,2020,09,12,18,1,0,3
2020,1,2020,09,12,15,41,1,0
2020,1,2020,09,12,24,22,4,3
2020,1,2020,09,12,49,30,0,2
2020,1,2020,09,13,48,23,0,3
2020,1,2020,09,13,46,17,0,1
2020,1,2020,09,14,39,52,0,2
2020,1,2020,09,14,9,13,1,3
2020,2,2020,09,19,17,48,5,2
2020,2,2020,09,19,22,18,4,3
2020,2,2020,09,19,27,15,1,3
2020,2,2020,09,19,1,49,2,1
2020,2,2020,09,20,41,46,2,5
2020,2,2020,09,20,30,9,0,3
2020,2,2020,09,20,13,24,0,2
2020,2,2020,09,20,23,10,4,2
2020,2,2020,09,21,2,39,1,0
2020,2,2020,09,21,52,26,1,3
2020,3,2020,09,26,9,27,2,3
2020,3,2020,09,26,15,17,1,2
2020,3,2020,09,26,48,13,3,3
2020,3,2020,09,26,10,41,0,1
2020,3,2020,09,27,39,22,0,1
2020,3,2020,09,27,46,30,1,1
2020,3,2020,09,27,26,23,2,5
2020,3,2020,09,27,49,52,4,0
2020,3,2020,09,28,18,2,0,3
2020,3,2020,09,28,24,1,3,1
2020,4,2020,10,03,13,15,4,0
2020,4,2020,10,03,17,9,4,2
2020,4,2020,10,03,22,26,1,1
2020,4,2020,10,03,30,10,3,1
2020,4,2020,10,04,23,49,0,3
2020,4,2020,10,04,41,48,2,0
2020,4,2020,10,04,1,39,2,1
2020,4,2020,10,04,52,18,1,0
2020,4,2020,10,04,27,46,1,6
2020,4,2020,10,04,2,24,7,2
2020,5,2020,10,17,17,24,2,2
2020,5,2020,10,17,13,41,3,3
2020,5,2020,10,17,26,1,1,0
2020,5,2020,10,17,30,27,1,4
2020,5,2020,10,18,39,18,1,1
2020,5,2020,10,18,15,9,1,1
2020,5,2020,10,18,46,49,3,3
2020,5,2020,10,18,23,2,0,1
2020,5,2020,10,19,48,10,0,0
2020,5,2020,10,19,22,52,0,1
2020,6,2020,10,23,2,22,0,3
2020,6,2020,10,24,49,26,1,1
2020,6,2020,10,24,18,15,1,2
2020,6,2020,10,24,27,13,0,0
2020,6,2020,10,24,24,39,2,1
2020,6,2020,10,25,41,17,2,0
2020,6,2020,10,25,52,30,1,1
2020,6,2020,10,25,1,23,0,1
2020,6,2020,10,26,9,48,1,1
2020,6,2020,10,26,10,46,0,1
2020,7,2020,10,30,52,15,2,0
2020,7,2020,10,31,39,26,0,1
2020,7,2020,10,31,10,13,0,3
2020,7,2020,10,31,24,49,2,1
2020,7,2020,11,01,2,41,3,4
2020,7,2020,11,01,30,17,2,1
2020,7,2020,11,01,27,1,0,1
2020,7,2020,11,01,46,9,2,1
2020,7,2020,11,02,18,48,2,0
2020,7,2020,11,02,22,23,1,4
2020,8,2020,11,06,9,10,0,0
2020,8,2020,11,06,41,30,2,0
2020,8,2020,11,07,17,27,1,3
2020,8,2020,11,07,15,22,4,1
2020,8,2020,11,07,13,39,4,1
2020,8,2020,11,07,49,18,1,0
2020,8,2020,11,08,48,46,0,1
2020,8,2020,11,08,23,52,1,0
2020,8,2020,11,08,26,24,1,1
2020,8,2020,11,08,1,2,0,3
2020,9,2020,11,21,30,13,0,2
2020,9,2020,11,21,2,9,1,2
