month,day,season,home,visitor,hgoal,vgoal
9,9,1986,23,48,2,0
9,9,1986,44,14,0,1
9,9,1986,52,25,0,0
9,9,1986,27,7,3,1
9,9,1986,35,2,2,0
9,9,1986,47,6,1,2
9,9,1986,8,16,2,1
9,9,1986,15,18,2,1
9,9,1986,0,1,2,2
9,9,1986,33,39,0,2
9,9,1986,23,2,0,0
9,9,1986,8,7,1,2
9,9,1986,44,1,1,2
9,9,1986,52,16,1,3
9,9,1986,27,39,0,0
9,9,1986,15,38,1,1
9,9,1986,0,25,0,1
9,9,1986,33,48,2,3
9,9,1986,35,6,1,3
9,9,1986,43,14,0,1
9,9,1986,47,18,2,5
9,9,1986,25,33,3,0
9,9,1986,18,44,2,0
9,9,1986,16,23,0,0
9,9,1986,38,35,5,1
9,9,1986,1,43,1,3
9,9,1986,6,8,6,0
9,9,1986,7,0,0,0
9,9,1986,39,47,2,3
9,9,1986,48,15,2,2
9,9,1986,2,52,1,3
9,9,1986,14,27,1,2
9,9,1986,43,38,1,0
9,9,1986,1,15,2,1
9,9,1986,23,7,0,0
9,9,1986,8,1,1,4
9,9,1986,44,25,1,1
9,9,1986,52,6,2,6
9,9,1986,15,2,1,2
9,9,1986,0,39,0,0
9,9,1986,33,14,1,0
9,9,1986,35,18,2,1
9,9,1986,43,48,0,1
9,9,1986,47,16,2,0
9,9,1986,27,38,3,1
9,9,1986,25,43,1,0
9,9,1986,18,8,3,3
9,9,1986,16,0,1,0
9,9,1986,1,33,2,0
9,9,1986,6,23,1,0
9,9,1986,7,44,3,2
9,9,1986,39,15,0,1
9,9,1986,48,47,2,2
9,9,1986,2,27,2,0
9,9,1986,14,35,2,2
9,9,1986,38,52,0,1
10,10,1986,52,44,0,1
10,10,1986,25,8,0,1
10,10,1986,27,23,0,1
10,10,1986,0,15,1,2
10,10,1986,1,39,1,0
10,10,1986,6,38,1,1
10,10,1986,48,7,6,1
10,10,1986,35,33,4,1
10,10,1986,2,16,0,0
10,10,1986,43,47,2,2
10,10,1986,14,18,1,3
10,10,1986,23,43,3,1
10,10,1986,8,35,3,1
10,10,1986,44,27,3,2
10,10,1986,15,6,3,1
10,10,1986,18,2,0,1
10,10,1986,16,1,0,0
10,10,1986,38,48,3,1
10,10,1986,33,0,3,1
10,10,1986,7,25,2,0
10,10,1986,39,14,2,1
10,10,1986,47,52,5,3
10,10,1986,44,15,2,0
10,10,1986,52,0,2,1
10,10,1986,18,7,4,0
10,10,1986,38,16,1,0
10,10,1986,33,23,1,2
10,10,1986,1,47,1,1
10,10,1986,6,39,1,0
10,10,1986,35,27,0,2
10,10,1986,2,48,1,1
10,10,1986,43,8,4,2
10,10,1986,25,14,1,0
10,10,1986,23,52,3,1
10,10,1986,8,33,2,0
10,10,1986,27,43,3,2
10,10,1986,15,35,2,3
10,10,1986,16,18,4,1
10,10,1986,7,6,2,1
10,10,1986,39,2,2,0
10,10,1986,48,25,2,2
10,10,1986,47,44,1,3
10,10,1986,14,1,2,0
10,10,1986,0,38,1,1
11,11,1986,8,15,2,0
11,11,1986,44,23,0,2
11,11,1986,52,43,0,0
11,11,1986,18,1,6,2
11,11,1986,16,39,1,0
11,11,1986,38,25,1,1
11,11,1986,33,7,0,0
11,11,1986,6,48,3,2
11,11,1986,35,0,1,1
11,11,1986,2,14,1,2
11,11,1986,47,27,1,0
11,11,1986,23,47,0,0
11,11,1986,25,6,1,0
11,11,1986,27,52,2,2
11,11,1986,15,33,1,1
11,11,1986,0,8,3,1
11,11,1986,1,2,2,1
11,11,1986,7,38,2,0
11,11,1986,39,18,1,3
11,11,1986,48,35,3,1
11,11,1986,43,44,4,1
11,11,1986,14,16,0,1
11,11,1986,8,52,0,0
11,11,1986,15,27,0,2
11,11,1986,16,6,4,2
11,11,1986,0,44,2,1
11,11,1986,33,43,2,2
11,11,1986,1,38,0,0
11,11,1986,39,7,1,1
11,11,1986,35,23,0,4
11,11,1986,2,25,1,0
11,11,1986,14,47,0,1
11,11,1986,18,48,1,1
11,11,1986,23,0,3,0
11,11,1986,44,35,1,3
11,11,1986,52,33,1,3
11,11,1986,25,1,2,1
11,11,1986,38,39,1,0
11,11,1986,6,14,3,2
11,11,1986,7,2,2,4
11,11,1986,48,16,1,0
11,11,1986,43,15,5,1
11,11,1986,47,8,1,1
11,11,1986,27,18,0,0
11,11,1986,8,23,0,4
11,11,1986,15,52,2,2
11,11,1986,18,25,2,0
11,11,1986,16,44,1,0
11,11,1986,0,27,1,3
11,11,1986,1,7,2,1
11,11,1986,39,48,2,2
11,11,1986,35,43,3,1
11,11,1986,2,6,2,3
11,11,1986,14,38,1,0
11,11,1986,33,47,4,0
12,12,1986,23,39,3,1
12,12,1986,44,33,1,1
12,12,1986,52,14,0,4
12,12,1986,25,15,1,0
12,12,1986,27,1,4,0
12,12,1986,6,0,2,0
12,12,1986,7,16,4,2
12,12,1986,48,8,2,1
